,Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
47,provideniya,ru,64.4238,-173.2276,12.56,100.0,88.0,24.32
49,vila franca do campo,pt,37.7167,-25.4334,56.01,100.0,76.0,23.98
50,adrar,dz,27.8734,-0.2875,66.85,27.0,0.0,2.95
52,belyy yar,ru,53.6039,91.3903,-3.48,54.0,8.0,2.84
54,maniitsoq,gl,65.4167,-52.9001,14.47,91.0,56.0,4.97
55,wewak,pg,-3.5535,143.6268,76.71,95.0,88.0,3.62
57,nishihara,jp,35.7387,139.5312,46.08,79.0,0.0,0.38
61,ponta do sol,pt,32.6667,-17.1,64.62,96.0,56.0,22.3
63,rawson,ar,-43.2992,-65.1057,63.36,23.0,0.0,19.06
64,hovd,mn,48.0056,91.6419,16.03,75.0,24.0,3.18
66,male,mv,4.1748,73.5089,83.75,100.0,76.0,7.99
67,port elizabeth,za,-33.918,25.5701,68.11,97.0,64.0,12.68
69,brae,gb,60.3964,-1.353,43.07,94.0,92.0,26.33
70,hobart,au,-42.8826,147.3281,58.01,92.0,88.0,6.53
71,perth,au,-31.9528,115.8605,69.75,96.0,68.0,6.2
73,torbay,ca,47.6577,-52.727,35.65,81.0,12.0,9.44
75,atuona,pf,-9.8,-139.0334,80.83,100.0,64.0,14.58
76,fare,pf,-16.7001,-151.0167,81.81,100.0,56.0,8.21
78,xiaoweizhai,cn,26.2293,107.5129,54.36,97.0,76.0,2.39
80,geraldton,au,-28.7667,114.6,73.06,100.0,12.0,12.57
81,hermanus,za,-34.4176,19.2361,61.97,97.0,100.0,3.4
83,derzhavinsk,kz,51.0991,66.3139,-2.08,72.0,0.0,2.39
85,tecoanapa,mx,16.9875,-99.2589,85.37,47.0,0.0,8.99
88,qaanaaq,gl,77.484,-69.3633,-8.11,100.0,44.0,2.39
89,sao filipe,cv,14.8961,-24.4956,70.38,92.0,12.0,19.17
90,hilo,us,19.7072,-155.0817,67.86,100.0,92.0,14.47
93,albany,au,-35.0248,117.8836,66.29,96.0,92.0,3.51
96,barra patuca,hn,15.8,-84.2834,79.83,95.0,20.0,12.46
97,leh,in,34.1642,77.5848,9.48,84.0,80.0,1.72
98,ahome,mx,25.9167,-109.1834,83.97,43.0,56.0,7.43
99,iqaluit,ca,63.7494,-68.5219,0.84,90.0,48.0,0.83
101,puerto ayora,ec,-0.7394,-90.3518,86.04,94.0,36.0,0.94
102,bluff,nz,-46.6,168.3333,60.91,96.0,92.0,20.74
104,vaini,to,-21.2001,-175.2,79.43,100.0,92.0,13.8
105,yar-sale,ru,66.8333,70.8333,-21.05,56.0,12.0,9.33
107,honiara,sb,-9.4313,159.9553,77.85,100.0,56.0,1.16
108,nabire,id,-3.3597,135.505,64.49,94.0,20.0,2.17
111,havoysund,no,70.9963,24.6622,21.13,99.0,76.0,6.87
115,afsin,tr,38.2477,36.914,25.57,86.0,36.0,2.62
120,vestmanna,fo,62.1564,-7.1664,42.06,99.0,92.0,30.58
122,kapaa,us,22.0752,-159.319,75.4,90.0,64.0,8.21
123,dikson,ru,73.5069,80.5464,-4.62,98.0,76.0,29.8
124,ostrovnoy,ru,68.0544,39.5129,-2.08,78.0,12.0,7.76
128,punta arenas,cl,-53.1627,-70.9081,48.43,95.0,20.0,24.87
129,fort-shevchenko,kz,44.5086,50.263,32.05,100.0,0.0,20.51
130,uniontown,us,39.9001,-79.7165,28.0,50.0,88.0,10.45
132,lavrentiya,ru,65.5842,-170.989,2.5,100.0,8.0,1.72
134,yulara,au,-25.2411,130.9869,55.18,37.0,0.0,4.41
135,carnarvon,au,-24.8667,113.6333,79.32,96.0,0.0,15.37
136,mvuma,zw,-19.2819,30.531,59.09,76.0,0.0,6.64
137,maku,ir,39.2911,44.4521,24.85,82.0,8.0,4.74
138,kavieng,pg,-2.5745,150.7967,84.0,100.0,48.0,6.98
139,thompson,ca,55.7433,-97.8635,17.64,55.0,0.0,3.96
140,dunedin,nz,-45.874,170.5035,68.68,67.0,88.0,8.43
145,yellowknife,ca,62.4541,-114.3774,31.53,93.0,36.0,8.1
146,pacific grove,us,36.6174,-121.9156,49.91,100.0,92.0,7.65
148,yanam,in,16.7333,82.2167,74.21,90.0,68.0,5.75
152,san cristobal,ec,-1.0243,-79.4413,65.07,100.0,80.0,1.5
154,conway,us,35.0887,-92.4422,61.09,46.0,0.0,4.52
155,esperance,au,-33.8583,121.8932,67.87,74.0,92.0,4.63
157,barrow,us,39.5062,-90.4016,57.31,48.0,0.0,19.84
158,marawi,sd,18.4833,31.8167,60.17,26.0,0.0,6.64
159,kavaratti,in,10.5669,72.642,77.54,100.0,92.0,18.84
160,grindavik,is,63.8424,-22.4338,43.09,93.0,92.0,33.04
162,ust-kut,ru,56.7804,105.7465,-4.96,73.0,32.0,3.85
165,zhangye,cn,38.9365,100.4556,30.61,76.0,32.0,7.31
169,mar del plata,ar,-46.4276,-67.5191,59.4,41.0,56.0,19.28
170,grand gaube,mu,-20.0064,57.6608,81.03,96.0,88.0,31.59
171,salalah,om,17.0149,54.0957,75.78,100.0,0.0,5.08
172,east london,za,-33.0153,27.9116,67.75,100.0,0.0,7.65
173,galle,lk,6.0367,80.217,76.77,100.0,24.0,6.42
176,saint-philippe,re,-21.3586,55.7679,81.27,100.0,88.0,23.42
178,boffa,gn,10.1812,-14.0378,72.59,71.0,0.0,8.99
179,intipuca,sv,13.1969,-88.0545,95.67,73.0,0.0,7.09
181,lumby,ca,50.25,-118.9667,42.17,85.0,92.0,2.17
182,hambantota,lk,6.1241,81.1185,79.12,100.0,48.0,4.97
185,kununurra,au,-15.7731,128.7388,73.24,60.0,0.0,4.97
186,tooele,us,40.5308,-112.2983,59.2,52.0,76.0,15.48
188,agadir,ma,30.4211,-9.5831,46.04,100.0,0.0,2.39
189,marshalltown,us,42.0448,-92.9104,60.8,44.0,0.0,15.14
191,zhanakorgan,kz,43.9098,67.2495,23.38,79.0,64.0,4.29
194,porto novo,cv,17.0197,-25.0648,72.07,94.0,12.0,15.59
196,tiksi,ru,71.6366,128.8685,-30.16,48.0,56.0,3.62
197,cherskiy,ru,68.75,161.3,-19.29,56.0,36.0,4.63
198,aykhal,ru,65.9451,111.5081,-24.17,32.0,36.0,2.73
199,manokwari,id,-0.8667,134.0833,79.39,100.0,20.0,10.11
202,ghanzi,bw,-21.699,21.6452,66.61,53.0,0.0,10.11
203,lakatoro,vu,-16.1069,167.4185,83.46,88.0,76.0,9.78
204,kaitangata,nz,-46.2818,169.8464,64.96,63.0,76.0,13.24
205,beringovskiy,ru,63.05,179.3167,-2.1,100.0,0.0,17.38
208,mucurapo,tt,10.6667,-61.5334,81.91,99.0,8.0,14.47
209,waingapu,id,-9.6522,120.2637,69.78,100.0,32.0,2.95
211,port blair,in,11.6667,92.75,82.26,100.0,0.0,6.87
212,egvekinot,ru,66.3167,-179.1667,-16.14,59.0,64.0,2.95
214,pisco,pe,-13.71,-76.203,76.39,55.0,0.0,5.19
215,yining,cn,29.0361,114.5636,57.96,100.0,88.0,2.39
218,pevek,ru,69.7028,170.2747,-24.81,93.0,32.0,2.62
221,berbera,so,10.4396,45.0143,59.83,94.0,8.0,2.62
225,bambous virieux,mu,-20.3428,57.7575,79.97,81.0,92.0,20.07
226,kropotkin,ru,45.4344,40.575,36.75,90.0,36.0,7.99
227,barhi,in,24.3051,85.4203,65.79,59.0,0.0,5.08
228,labytnangi,ru,66.6596,66.3862,-18.42,49.0,36.0,2.95
229,vostok,ru,46.448,135.8294,23.94,92.0,88.0,1.72
230,faanui,pf,-16.4834,-151.75,83.14,99.0,56.0,8.55
232,healdsburg,us,38.6107,-122.8702,51.04,99.0,80.0,3.4
236,jamestown,sh,-15.9388,-5.7168,75.06,100.0,92.0,16.82
239,pangnirtung,ca,66.149,-65.7179,-7.88,82.0,48.0,8.21
243,samarai,pg,-10.6167,150.6667,77.31,100.0,92.0,7.76
247,port lincoln,au,-34.7212,135.8592,62.98,100.0,68.0,7.76
248,nouadhibou,mr,20.931,-17.0347,63.88,48.0,0.0,19.28
249,brooks,ca,50.571,-111.8931,39.88,97.0,8.0,5.97
251,ushibuka,jp,32.1906,130.0228,54.72,93.0,8.0,9.55
252,khatanga,ru,71.9801,102.4743,-39.12,0.0,8.0,5.97
255,falam,mm,22.9139,93.679,49.48,81.0,0.0,1.5
256,syamzha,ru,60.0217,41.0605,33.42,94.0,92.0,19.51
258,canutama,br,-6.5331,-64.3835,83.73,73.0,12.0,1.16
261,petropavlovsk-kamchatskiy,ru,53.0452,158.6483,23.25,94.0,88.0,7.76
263,quatre cocos,mu,-20.2078,57.7625,79.97,81.0,92.0,20.07
264,auki,sb,-8.7677,160.7034,79.84,100.0,24.0,2.17
268,gaurnadi,bd,22.9667,90.2333,63.66,91.0,0.0,3.4
269,borogontsy,ru,62.6708,131.1661,-16.26,66.0,24.0,3.74
274,bilibino,ru,68.055,166.4449,-37.2,0.0,0.0,2.17
275,loutros,gr,40.5901,22.4005,46.62,82.0,68.0,2.39
276,husavik,is,66.0449,-17.3389,34.92,90.0,48.0,11.01
279,hinton,ca,53.4047,-117.5703,47.07,57.0,12.0,2.95
282,awjilah,ly,29.1403,21.2975,70.39,32.0,92.0,12.01
285,chapleau,ca,47.8456,-83.4019,33.21,63.0,32.0,4.97
287,saldanha,za,-33.0117,17.9442,65.7,98.0,88.0,3.62
289,epernay,fr,45.4524,5.884,40.24,92.0,48.0,1.72
290,sangar,ru,63.9236,127.4668,-14.1,62.0,44.0,3.74
291,broken hill,au,-31.9651,141.4511,52.14,91.0,0.0,7.54
292,qianan,cn,44.9932,124.0581,13.64,65.0,0.0,17.72
293,gladstone,au,-23.8432,151.2561,72.19,86.0,0.0,14.36
298,ouro fino,br,-22.2831,-46.3692,73.49,81.0,64.0,0.72
303,batemans bay,au,-35.7073,150.1783,60.73,100.0,0.0,3.4
306,saint-joseph,re,-21.3667,55.6167,81.25,100.0,88.0,23.42
308,xining,cn,36.6219,101.773,11.57,70.0,0.0,2.39
310,cape town,za,-33.929,18.4174,64.33,98.0,68.0,8.1
311,haines junction,ca,60.7527,-137.5101,43.59,94.0,56.0,2.73
312,itarema,br,-2.9248,-39.9167,79.25,79.0,92.0,11.79
313,sorland,no,67.667,12.6934,22.03,100.0,56.0,3.18
315,beira,mz,-19.8437,34.8389,73.92,89.0,0.0,3.74
317,moree,au,-29.4618,149.8407,62.28,85.0,0.0,3.74
318,cap-aux-meules,ca,47.3821,-61.8597,34.23,89.0,92.0,43.11
319,kloulklubed,pw,7.0419,134.2556,77.18,100.0,48.0,8.1
321,hasaki,jp,35.7333,140.8333,46.27,100.0,0.0,13.35
323,manitouwadge,ca,49.1215,-85.8385,31.15,71.0,80.0,6.53
332,ancud,cl,-41.8682,-73.8288,55.92,59.0,12.0,5.86
333,new norfolk,au,-42.7802,147.0615,56.82,93.0,88.0,9.33
336,lesogorsk,ru,56.0509,99.5145,-6.58,78.0,0.0,3.29
338,prieska,za,-29.6663,22.7444,57.52,52.0,8.0,3.06
339,port alfred,za,-33.5906,26.891,65.17,92.0,0.0,7.43
340,narsaq,gl,60.9127,-46.0453,16.65,73.0,0.0,8.55
343,chokurdakh,ru,70.6192,147.9022,-22.85,74.0,44.0,12.46
346,hithadhoo,mv,-0.6,73.0833,83.01,100.0,88.0,9.78
350,luau,ao,-10.7073,22.2247,63.73,98.0,92.0,2.95
351,mahebourg,mu,-20.4081,57.7,79.97,81.0,92.0,20.07
352,cidreira,br,-30.1658,-50.2184,73.49,68.0,12.0,9.78
353,saskylakh,ru,71.965,114.0939,-41.53,91.0,8.0,3.29
355,kyabe,td,9.4515,18.9449,68.83,45.0,0.0,3.51
356,akhmim,eg,26.5627,31.7434,54.12,57.0,0.0,4.18
359,cervo,es,43.6702,-7.4102,50.95,100.0,92.0,22.3
364,manadhoo,mv,5.7667,73.3833,78.96,100.0,64.0,10.89
367,hofn,is,64.2539,-15.2082,39.4,100.0,92.0,26.11
374,omsukchan,ru,62.5333,155.8,-36.03,69.0,12.0,2.51
375,cap malheureux,mu,-19.9842,57.6142,81.03,96.0,88.0,31.59
383,ahuimanu,us,21.4447,-157.8378,79.27,70.0,80.0,14.03
384,ust-kuyga,ru,70.0018,135.5498,-26.68,41.0,48.0,3.85
391,puro,ph,13.1347,123.7628,71.82,96.0,76.0,3.29
392,kirakira,sb,-10.4569,161.9202,81.37,100.0,68.0,11.56
393,ormara,pk,25.2088,64.6357,75.07,82.0,0.0,14.7
398,stolin,by,51.8939,26.8512,41.83,97.0,88.0,4.18
399,cochrane,ca,51.1875,-114.4711,41.76,52.0,0.0,3.51
402,puerto cabezas,ni,14.0351,-83.3889,85.53,91.0,20.0,14.81
403,te anau,nz,-45.4145,167.7175,56.12,85.0,76.0,12.24
404,dingle,ie,52.1408,-10.2689,47.35,93.0,80.0,15.48
408,cayenne,gf,4.9371,-52.3259,81.01,81.0,100.0,9.66
410,ust-nera,ru,64.5664,143.2378,-39.3,76.0,20.0,1.05
411,raudeberg,no,61.9875,5.1352,28.36,99.0,68.0,3.74
413,vista hermosa,co,8.3658,-73.287,88.95,36.0,20.0,2.17
415,manzhouli,cn,49.6,117.4333,-5.5,59.0,0.0,5.97
418,rafaela,ar,-31.2527,-61.4917,89.17,50.0,0.0,2.39
419,vestmannaeyjar,is,63.4427,-20.2734,43.39,88.0,44.0,30.91
423,margate,za,-30.8636,30.3705,68.95,100.0,88.0,4.41
424,san patricio,mx,19.223,-104.6989,83.97,61.0,0.0,5.3
426,gold coast,au,-28.0024,153.4146,72.86,96.0,88.0,20.62
431,luderitz,na,-26.6481,15.1594,61.41,83.0,0.0,15.48
432,imphal,in,24.8006,93.937,49.3,86.0,0.0,1.83
434,claveria,ph,8.6123,124.893,67.87,100.0,56.0,3.62
436,sandakan,my,5.8402,118.1179,80.69,100.0,88.0,4.07
438,cravo norte,co,6.3045,-70.2018,99.91,29.0,12.0,8.99
439,khajuraho,in,24.8515,79.926,76.62,34.0,64.0,8.1
440,la ronge,ca,55.1004,-105.3013,27.79,63.0,0.0,7.76
447,touros,br,-5.1989,-35.4609,78.82,82.0,92.0,12.8
450,ardakan,ir,32.3063,54.016,51.28,43.0,32.0,2.73
452,norman wells,ca,65.2824,-126.8328,26.82,89.0,24.0,5.86
455,melivoia,gr,41.3287,24.9311,46.87,100.0,92.0,0.49
459,yumen,cn,40.2917,97.0449,35.76,58.0,8.0,18.39
460,parkes,au,-33.1369,148.1755,59.45,86.0,0.0,2.39
461,lebu,cl,-37.6167,-73.6501,59.58,100.0,0.0,10.78
465,cabo san lucas,mx,22.8938,-109.9112,81.48,95.0,0.0,3.18
466,kruisfontein,za,-34.0034,24.7314,65.68,91.0,76.0,7.09
468,mujiayingzi,cn,42.1167,118.7833,17.78,71.0,8.0,14.81
469,pitimbu,br,-7.4729,-34.8113,83.19,90.0,0.0,9.66
470,chuy,uy,-33.6938,-53.4562,77.79,60.0,0.0,12.12
471,fagernes,no,60.9863,9.2363,0.48,67.0,44.0,2.17
475,mau,in,25.9391,83.5716,70.16,57.0,8.0,2.73
477,tangping,cn,33.6892,105.6669,33.21,79.0,0.0,2.17
484,ribeira grande,pt,38.5167,-28.7001,56.1,100.0,64.0,21.52
485,kalga,ru,50.9236,118.8992,-11.3,46.0,0.0,2.62
494,beloha,mg,-25.1739,45.0615,74.5,70.0,0.0,4.97
495,tortoli,it,39.9256,9.6572,47.98,87.0,56.0,1.16
497,nushki,pk,29.55,66.0167,45.73,58.0,0.0,3.18
499,sernur,ru,56.9348,49.1469,17.04,82.0,0.0,15.93
500,katsuura,jp,33.9258,134.505,40.82,83.0,0.0,1.5
501,hobyo,so,5.3505,48.5268,77.9,92.0,92.0,9.44
509,erenhot,cn,43.6511,111.9704,2.93,62.0,0.0,7.99
510,priargunsk,ru,50.3659,119.0901,-9.84,58.0,0.0,4.18
512,upernavik,gl,72.7868,-56.1549,5.09,100.0,56.0,3.96
523,bambanglipuro,id,-7.95,110.2833,66.87,96.0,56.0,2.39
528,talara,pe,-4.5797,-81.2719,86.67,51.0,36.0,10.22
530,lamu,ke,-2.2717,40.902,77.77,96.0,12.0,3.06
533,maragogi,br,-9.0119,-35.2226,75.69,79.0,0.0,9.22
535,roald,no,62.5838,6.1242,30.34,99.0,56.0,6.2
538,esil,kz,51.9602,66.4089,8.56,74.0,88.0,2.95
544,cukai,my,4.25,103.4167,74.46,99.0,92.0,1.83
545,nuuk,gl,64.175,-51.7356,19.99,100.0,76.0,3.96
555,glenwood springs,us,39.5507,-107.3256,54.41,30.0,36.0,4.74
556,mount gambier,au,-37.8302,140.7843,58.1,90.0,92.0,2.39
557,xiongzhou,cn,32.337,118.8317,56.05,90.0,56.0,2.84
558,carutapera,br,-1.2017,-46.0206,76.84,95.0,92.0,5.41
560,carballo,es,43.2134,-8.6889,48.2,100.0,92.0,7.87
563,kahului,us,20.8894,-156.4728,76.46,83.0,92.0,9.22
564,gushikawa,jp,26.3544,127.8686,67.21,98.0,36.0,13.24
567,coos bay,us,43.3665,-124.2179,52.39,74.0,24.0,3.96
570,villaviciosa,es,43.4813,-5.4335,50.07,71.0,12.0,7.99
573,sitka,us,37.175,-99.6516,76.3,27.0,0.0,21.97
574,mairana,bo,-18.1194,-63.9566,64.94,82.0,20.0,10.22
575,arraial do cabo,br,-22.9663,-42.0245,83.52,84.0,64.0,20.07
578,khed brahma,in,24.0333,73.05,58.26,66.0,0.0,4.29
581,buribay,ru,51.9617,58.1592,-3.72,59.0,8.0,4.29
589,songling,cn,31.1933,120.7176,58.41,95.0,48.0,3.18
590,lagoa,pt,37.1363,-8.4541,58.71,97.0,92.0,13.58
592,aklavik,ca,68.2183,-135.0136,21.29,91.0,92.0,4.74
596,ranfurly,nz,-45.1296,170.0998,61.77,59.0,92.0,7.76
597,zyryanka,ru,65.7336,150.8933,-22.56,65.0,48.0,2.73
604,tashara,ru,55.5195,83.5094,-14.05,42.0,0.0,4.41
606,tagusao,ph,9.1924,117.8141,74.5,98.0,0.0,4.29
607,ariquemes,br,-9.9077,-63.0331,74.57,90.0,92.0,2.39
608,det udom,th,14.9041,105.0757,72.32,98.0,64.0,7.99
612,mithi,pk,24.7364,69.7973,65.14,49.0,0.0,9.78
614,kaoma,zm,-14.801,24.7986,67.84,77.0,32.0,7.99
615,saint-augustin,ca,45.6256,-73.9796,34.14,88.0,92.0,5.08
626,bandarbeyla,so,9.4942,50.8122,76.69,100.0,56.0,9.78
631,iracoubo,gf,5.4794,-53.2058,77.88,75.0,92.0,6.76
640,berlevag,no,70.8578,29.0864,20.34,100.0,76.0,9.66
641,padang,id,-0.9248,100.3633,81.52,100.0,8.0,5.75
643,leningradskiy,ru,69.3833,178.4167,-17.9,100.0,48.0,3.74
644,sibolga,id,1.737,98.7846,70.47,100.0,76.0,1.39
645,paamiut,gl,61.994,-49.6678,27.41,100.0,44.0,6.87
646,nicoya,cr,10.147,-85.4536,94.93,44.0,12.0,14.03
648,necochea,ar,-38.5473,-58.7368,68.56,66.0,92.0,8.99
649,kodiak,us,39.9519,-94.7572,68.79,29.0,0.0,17.83
650,ajdabiya,ly,30.755,20.2233,64.96,32.0,92.0,4.41
654,redmond,us,47.6694,-122.1239,51.17,87.0,8.0,9.66
658,puerto colombia,co,10.9891,-74.9555,87.03,71.0,20.0,13.02
660,sobolevo,ru,54.4299,31.8996,32.04,99.0,92.0,6.08
663,curup,id,-3.4677,102.5301,69.67,95.0,64.0,2.17
664,komsomolskiy,ru,67.5537,63.776,-26.92,37.0,12.0,3.18
670,chakwal,pk,32.9323,72.8562,55.62,90.0,88.0,6.42
672,trat,th,12.2452,102.5118,79.05,100.0,88.0,4.18
675,conde,br,-11.813,-37.6139,77.4,82.0,12.0,10.56
676,tolosa,es,43.1386,-2.0724,48.96,88.0,92.0,8.1
679,ayagoz,kz,47.9649,80.4301,30.13,92.0,92.0,3.06
687,tynda,ru,55.1497,124.7376,-15.33,56.0,0.0,2.73
688,scarborough,tt,11.1833,-60.7334,82.65,100.0,48.0,18.05
691,coihaique,cl,-45.5753,-72.0662,49.5,66.0,68.0,7.43
693,port hardy,ca,50.6996,-127.4199,51.3,74.0,32.0,4.63
694,shouguang,cn,36.8762,118.7323,50.74,91.0,24.0,11.68
695,lhokseumawe,id,5.179,97.1481,81.48,100.0,8.0,6.2
698,kailua,us,21.3936,-157.7438,79.27,70.0,80.0,14.03
701,atar,mr,20.5183,-13.0544,60.4,17.0,0.0,7.2
702,ipixuna,br,-1.7625,-48.8044,72.66,100.0,92.0,2.73
703,flin flon,ca,54.7698,-101.879,25.3,63.0,0.0,4.41
708,tazovskiy,ru,67.4667,78.7,-6.43,100.0,76.0,16.26
711,bathsheba,bb,13.2167,-59.5167,81.09,100.0,76.0,19.62
720,ponta delgada,pt,37.7333,-25.6667,56.1,100.0,76.0,23.76
722,kandi,bj,11.1299,2.9342,69.62,44.0,0.0,6.2
725,sembe,cg,1.6481,14.5806,73.2,90.0,0.0,3.4
731,tabas,ir,33.596,56.9247,40.48,39.0,44.0,2.62
733,killybegs,ie,54.6333,-8.45,46.81,91.0,80.0,22.08
742,sao felix do xingu,br,-6.6448,-51.995,78.46,87.0,88.0,2.28
743,prudentopolis,br,-25.2131,-50.9778,76.86,89.0,48.0,2.28
746,staryy krym,ua,45.0333,35.1,46.53,95.0,0.0,17.49
748,diffa,ne,13.3154,12.6113,61.3,18.0,0.0,6.53
756,muravlenko,ru,63.7948,74.4969,14.41,83.0,88.0,10.0
760,tilichiki,ru,60.4667,166.1,-24.63,43.0,0.0,2.95
763,jiutai,cn,44.1531,125.8405,17.91,93.0,80.0,18.28
766,fagersta,se,60.0039,15.7906,16.02,81.0,0.0,2.39
770,nome,us,30.0358,-94.4244,69.21,46.0,0.0,5.19
772,lodwar,ke,3.1166,35.6,73.71,90.0,80.0,3.62
775,manicaragua,cu,22.1443,-79.9738,77.23,46.0,0.0,9.78
776,nayudupeta,in,13.9091,79.8965,63.61,92.0,0.0,2.62
778,abu kamal,sy,34.4506,40.9171,54.57,26.0,20.0,9.78
783,bulgan,mn,48.8129,103.5323,-5.37,67.0,0.0,2.84
785,ust-koksa,ru,50.2696,85.6156,14.52,82.0,44.0,1.95
788,college,us,64.8569,-147.8028,26.31,93.0,92.0,4.18
792,songjianghe,cn,42.1782,127.481,18.25,97.0,92.0,7.09
796,vao,nc,-22.6667,167.4833,80.96,96.0,80.0,15.93
798,grand-lahou,ci,5.2443,-5.0035,75.13,81.0,0.0,7.2
801,montego bay,jm,18.4725,-77.9218,82.2,100.0,24.0,3.51
807,sao jose da coroa grande,br,-8.8978,-35.1478,75.69,79.0,0.0,9.22
814,najran,sa,17.544,44.2247,67.86,36.0,36.0,4.97
816,tonneins,fr,44.3906,0.3092,53.82,54.0,100.0,10.33
817,tura,ru,64.2742,100.217,-4.98,74.0,48.0,2.28
821,hamilton,bm,32.2956,-64.7828,65.86,100.0,92.0,24.87
822,atasu,kz,48.6814,71.6433,15.98,75.0,44.0,6.42
829,tubuala,pa,9.5167,-79.0334,91.51,96.0,92.0,9.1
831,tommot,ru,58.9685,126.2669,-5.63,52.0,36.0,3.29
833,yamada,jp,36.5791,137.0802,42.53,100.0,24.0,4.52
834,de-kastri,ru,51.4754,140.769,16.45,100.0,88.0,11.23
835,teya,ru,60.3731,92.6306,7.9,72.0,76.0,5.3
837,marystown,ca,47.1658,-55.158,40.17,88.0,0.0,20.85
844,pocone,br,-16.2567,-56.6228,86.41,62.0,32.0,4.97
845,koshurnikovo,ru,54.3006,93.3948,1.11,54.0,0.0,3.96
846,rabat,ma,34.0224,-6.8346,61.32,86.0,92.0,19.51
848,sarangani,ph,5.4033,125.4636,81.7,100.0,32.0,2.17
852,yarmouth,ca,43.8373,-66.1157,37.17,89.0,44.0,23.09
854,mbengwi,cm,6.0032,10.0138,57.22,94.0,56.0,2.17
855,cockburn town,bs,24.0333,-74.5167,69.08,100.0,92.0,14.81
863,havre-saint-pierre,ca,50.2334,-63.5987,32.47,91.0,92.0,28.12
867,karratha,au,-20.7371,116.8479,73.6,80.0,0.0,8.55
873,hornepayne,ca,49.2167,-84.7834,30.0,69.0,80.0,4.85
881,ketchikan,us,55.3422,-131.6462,50.77,86.0,56.0,5.08
884,shwebo,mm,22.5667,95.7,63.18,77.0,0.0,3.74
885,challans,fr,46.8479,-1.8774,52.05,94.0,92.0,20.29
886,diego de almagro,cl,-26.3911,-70.046,74.21,62.0,0.0,3.62
887,shaowu,cn,27.3438,117.4872,58.23,98.0,92.0,2.06
890,ambilobe,mg,-13.1945,49.05,75.16,94.0,100.0,3.51
892,saint george,bm,32.3817,-64.6781,65.86,100.0,92.0,24.87
896,terra roxa,br,-20.7871,-48.3315,90.61,61.0,36.0,2.95
903,abilene,us,32.4465,-99.7334,71.55,25.0,0.0,10.67
